"","x"
"1","#ElSalvador: Total abortion ban is the leading cause of suicide for pregnant teens. Act now! http://t.co/DExfNry61V http://t.co/dkeGtw9trx"
"2","#Saudi Arabia: Prisoner pardons must NOT include conditions to silence activists. http://t.co/xb4YKi7mPW #FreeRaif http://t.co/iF7pNEgtEv"
"3","Flogging of imprisoned #Saudi blogger Raif Badawi was not carried out today. He remains at risk. #FreeRaif http://t.co/8YDaqWnFkF"
"4","Excessive police force not the answer to horrific petrol bomb attacks in #Bangladesh. http://t.co/0apwXeZVLe http://t.co/i2vGsXGIuY"
"5","@JoseRicardoTB: 'Manipulation' is saying there's no racial discrimination in #RepDom when reality shows otherwise. http://t.co/GeXWIwN9fT"
"6","#Saudi authorities MUST stop tomorrow’s flogging of @raif_badawi &amp; unconditionally #FreeRaif! http://t.co/8Ta4YEbFQP http://t.co/0NhlbZBN3t"
"7","Medical expert warns repeat flogging of Raif may cause severe long-term damage. #FreeRaif http://t.co/02DsyuaZqf http://t.co/MM1MLIQ8kA"
"8","#USA: After botched executions, Supreme Court stays 3 Oklahoma death sentences: http://t.co/z7jJkPGGOP http://t.co/ngPLnecpGC"
"9","#Philippines: Torture remains prevalent &amp; has become a form of entertainment for police. http://t.co/ihAJHTP0RZ http://t.co/1axhQIgmJE"
"10","Over 1 million people have called on #SaudiArabia to #FreeRaif! He is still at risk. Act now: http://t.co/8Ta4YEbFQP http://t.co/pYPrDBrPQZ"
"11","#Nigeria: Authorities were repeatedly warned of #BokoHaram attacks on Baga &amp; Monguno. http://t.co/09vPKjS2Oj http://t.co/70yXt6O7q8"
"12","Georgia has executed #WarrenHill. We mourn his loss &amp; are saddened by this latest stain on US #humanrights record http://t.co/pbBe8M2R05"
"13","Tonight #Georgia plans to execute a man with the cognitive ability of a child http://t.co/60T9y493Vb #WarrenHill http://t.co/YWjyUonHZ5"
"14","Blogging is not a crime! #Saudi authorities MUST end the torture, stop the flogging &amp; #FreeRaif. @SaudiEmbassyUSA http://t.co/8Ta4YEbFQP"
"15","Thousands of women are imprisoned &amp; tortured by #ElSalvador's total abortion ban. Act now! http://t.co/HK4yfgvGqj http://t.co/AHFyvqmmYE"
"16","New #Saudi king must end lashing &amp; #FreeRaif to show his commitment to reform &amp; #humanrights. http://t.co/Fe1Rt0yBaU http://t.co/bRxPD5clJt"
"17","WATCH: Obama dodges question on @raif_badawi &amp; defends #Saudi relationship. #FreeRaif @FareedZakaria http://t.co/TFeL1qoV3H"
"18","Missing for 5 years. #SriLanka, where   is journalist &amp; cartoonist Prageeth Eknaligoda? http://t.co/KN2aMWQJ8h http://t.co/OkAJmp76sL"
"19","#Philippines: Police physically abuse suspects for entertainment using a “wheel of torture.” http://t.co/ihAJHTP0RZ http://t.co/XU2XQoHlxd"
"20",".@BarackObama urged to advocate for Raif Badawi's release during #SaudiArabia visit. #FreeRaif http://t.co/GDBuSuZGTk http://t.co/hOlVZnSTzX"
"21","#Bhopal was not a tragic accident, It was an avoidable disaster. http://t.co/uf7Hjjfrqi #ObamaInIndia http://t.co/POrrJq3J9K"
