"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","URGENT: Saman Naseem moved out of the general ward in preparation for his execution tomorrow! #Iran #SaveSaman http://t.co/faigb7jFHC",FALSE,55,NA,2015-02-18 16:42:06,FALSE,NA,"568088077618581504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",265,FALSE,FALSE,NA,NA
"2","Join us March 20-22 in #Brooklyn, NY for @amnesty's #humanrights conference! http://t.co/MUwGsprR0v
#AmnestyM2M http://t.co/d1vAawHmgm",FALSE,34,NA,2015-02-18 15:41:58,FALSE,NA,"568072941562433536",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",52,FALSE,FALSE,NA,NA
"3","Eric Holder: Moratorium on #DeathPenalty 'would be appropriate' pending Supreme Court decision http://t.co/aINQm02mlw http://t.co/U8dMgy86jC",FALSE,94,NA,2015-02-18 06:02:59,FALSE,NA,"567927236076163072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",151,FALSE,FALSE,NA,NA
"4","Saman was brutally beaten on Sunday to force a 'confession' on camera. He faces execution in 2 days. Tweet @khamenei_ir to #SaveSaman!",FALSE,60,NA,2015-02-18 03:48:37,FALSE,NA,"567893423920939008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",199,FALSE,FALSE,NA,NA
"5","#Oregon @GovKitz should respect #humanrights &amp; commute 35 death sentences before resigning. http://t.co/4Z0Bu9kvox http://t.co/qSUc9CAVn4",FALSE,47,NA,2015-02-17 21:33:02,FALSE,NA,"567798902418845696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",76,FALSE,FALSE,NA,NA
"6","#Iran: Juvenile offender set to be hanged Thursday was brutally beaten to confess. http://t.co/ugv8BCi6oO #SaveSaman http://t.co/7IL7NvBZly",FALSE,100,NA,2015-02-17 17:00:50,FALSE,NA,"567730401234677760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",432,FALSE,FALSE,NA,NA
"7",".@Amnesty’s biggest #humanrights conference is headed to Brooklyn, NY! Learn more: http://t.co/MUwGsprR0v
#AmnestyM2M http://t.co/XMMzVKBYHE",FALSE,68,NA,2015-02-17 15:40:54,FALSE,NA,"567710286560628737",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",100,FALSE,FALSE,NA,NA
"8","Cold-blooded murder of Copts in #Libya a war crime: http://t.co/xwZjuON4rY #ISIS http://t.co/2h3GiqlhLZ",FALSE,144,NA,2015-02-16 22:18:58,FALSE,NA,"567448077251117056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",375,FALSE,FALSE,NA,NA
"9","@JaredLeto Thank you for helping draw attention to Saman’s case",FALSE,20,"amnesty",2015-02-16 17:11:50,FALSE,"567157647401824256","567370780754075649","16153562","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",7,FALSE,FALSE,NA,NA
"10","#Yemen: Peaceful protesters targets of Huthis’ disturbing #torture-tactics. http://t.co/4HE8dnYCXi http://t.co/XpsyFKlRRn",FALSE,39,NA,2015-02-16 17:04:20,FALSE,NA,"567368895217303552",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",99,FALSE,FALSE,NA,NA
