"","x"
"1","@danieltosh What a GREAT suggestion! Dog adoption, FTW! ‚ù§"
"2","@davidsting414 So awful. I will never understand why people kill such amazing animals. Heartbreaking..."
"3","@arigrandevegan I think so. Check out our guide to cruelty-free clothing! :) http://t.co/lsY5x2zjvh"
"4","@ButlerPrincesse Exactly! &lt;3"
"5","@thertweet It's awful. :("
"6","@tara_brooks6866 Did you miss the detail that the tweet was about cosmetics?"
"7","@LaneyBK Definitely give them a try! :)"
"8","@Nikki__Storm &lt;3"
"9","@MrDaedricDragon They really are!"
"10","@rebeccafowler37 Exactly! Animal tests continue, not because it's effective, but due to vested financial interests &amp; outdated traditions."
"11","@KarvonenOnni AW, he knows he is safe now! &lt;3"
"12","@bsbfankaren No clue as to what you are even talking about."
"13","ICYMI caged dogs delivered a message 2 #WKCDogShow:

SHELTER DOGS LOSE TODAY Ì†ΩÌ≤î http://t.co/BQD9SJH6Pm

#AdoptDontBuy http://t.co/PBlgfGMaxn"
"14","@SarahSanger3 Yep. That account is run by lobbyists with clients that kill billions of animals every year: http://t.co/jYSKzc3aIQ"
"15","@TheNaturalTN Purebreds make up at least 25% of the dogs in animal shelters. NO excuse to buy instead of adopt. #AdoptDontBuy"
"16","@Nikovious Thank you! &lt;3"
"17","@Brooke_aeb WOW, how original!"
"18","@PurrKytty Well said! &lt;3"
"19","As more &amp; more Americans turn to veganism, #vegan leather sales are on the rise: http://t.co/PsSXYi97D9 #FreePeople #StellaMcCartney #NYFW"
"20","@Blonde_DASHdoll Sadly, because of their trusting nature."
"21","#MyDreamIn5Words: PLEASE LET ME BE FREE http://t.co/Nwo0kdwOOC"
"22","@lotyslove Thank you for your compassion towards all living beings! ‚ù§"
"23","@AngelaJohnson_1 This is great! #Vegan for the planet, for the animals, for your health :) TY for living compassionately!"
"24","@LisaVanderpump #Vegan apparel, for the win! ‚ù§"
"25","@May7ven Happy Day 1! If you're new to #vegan life you should def check out some of our recipes &amp; tips ‚ò∫ http://t.co/lOs0M1BOpy"
"26","@DoveCameron Don't freak out! We're help to help you on your #vegan journey &amp; have LOTS of tips &amp; resources here ‚ò∫ http://t.co/lOs0M1BOpy"
"27","Nosey is STILL suffering.

RT &amp; tell @USDA it's their RESPONSIBILITY to HELP her: http://t.co/d6buSrGUeg http://t.co/43WvEwAk7y"
"28","The best way to stop companies from testing on animals is to NOT purchase their products. 

WHAT TO BUY INSTEAD: http://t.co/iKlIZtWywF"
"29","So many beagles die in shelters &amp; labs

NO EXCUSE 4 encouraging ppl 2 breed MORE. #Adopt

RT if u agree! #WKCDogShow http://t.co/hoxkpBtkFd"
"30","Meatball subs, spaghetti &amp; meatballs, &amp; MORE!

6 #Vegan Meatballs You Have to Try: http://t.co/uyteNjY4bJ http://t.co/0BYtjKMgDv"
"31","When so many homeless beagles die in shelters &amp; labs, there's NO EXCUSE 4 encouraging ppl 2 breed MORE. #WKCDogShow http://t.co/WTjSIdJaIP"
"32","@Chezhdchick We do. It's the ""no-kill"" shelters that don't. http://t.co/8bvLjqzp8x"
"33","@CandaceRoutel Thanks for your support! &lt;3"
"34","@sbunton64 We don't. People continue to spread misinformation but it doesn't make it true."
"35","@KaylaVegan Love it!! Thanks for sharing! Happy Birthday! &lt;3"
"36","@bigBucksCo Once again, NOT by us so please stop spreading false information. Thanks!"
"37","@simonsam Shocked audience gets glimpse of what REALLY happens 2 elephants #UniverSoulCircus: https://t.co/6JTwkeWHBT http://t.co/7TAGkSWr8g"
"38","@UncleRUSH Shocked audience gets glimpse of what REALLY happens 2 elephants #UniverSoulCircus https://t.co/6JTwkeWHBT http://t.co/RunfiFv8Ro"
"39","Because everyone wants radiant, healthy skin!
 
How to Fight Wrinkles the #CrueltyFree Way: http://t.co/oWrFnv2Vae http://t.co/KXg1m1OYPX"
"40","@BreezyTautMe Wearing the fur of a tortured and killed animal is also unnecessary: http://t.co/VJ5TPPZ6Ut"
"41","@lotyslove Comparing and relating allows us to feel empathy and is a great way to bring about change."
"42","@lotyslove Exactly. Not saying the actions are the same but rather pointing out the similar and corrupt mentalities of both organizations."
"43","@BreezyTautMe We've said so much about them. Just search her name and PETA together...you'll see."
"44","@alexisdgeorge The ad is about the corrupt mentalities of both organizations. Please see: http://t.co/VjgrUUUJnJ"
