"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@danieltosh What a GREAT suggestion! Dog adoption, FTW! ❤",FALSE,0,"danieltosh",2015-02-18 19:56:10,FALSE,"568107907113287681","568136916325015552","25521487","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","peta",0,FALSE,FALSE,NA,NA
"2","@davidsting414 So awful. I will never understand why people kill such amazing animals. Heartbreaking...",FALSE,0,"davidsting414",2015-02-18 19:54:08,FALSE,"568091316787257344","568136401578889218","1735063459","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"3","@arigrandevegan I think so. Check out our guide to cruelty-free clothing! :) http://t.co/lsY5x2zjvh",FALSE,0,"arigrandevegan",2015-02-18 19:50:31,FALSE,"568084162218823680","568135493637922817","2455998890","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"4","@ButlerPrincesse Exactly! &lt;3",FALSE,0,"ButlerPrincesse",2015-02-18 19:49:48,FALSE,"568084710301286400","568135312863412224","2736347620","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"5","@thertweet It's awful. :(",FALSE,0,"thertweet",2015-02-18 19:49:25,FALSE,"568080102485057536","568135217250050051","97000193","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"6","@tara_brooks6866 Did you miss the detail that the tweet was about cosmetics?",FALSE,0,"tara_brooks6866",2015-02-18 19:48:53,FALSE,"568124506339971072","568135082776461312","2746060534","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"7","@LaneyBK Definitely give them a try! :)",FALSE,0,"LaneyBK",2015-02-18 19:47:21,FALSE,"568126737554513921","568134695470256128","2924953107","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"8","@Nikki__Storm &lt;3",FALSE,0,"Nikki__Storm",2015-02-18 19:46:25,FALSE,"568123376306429952","568134458840186881","3033698417","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"9","@MrDaedricDragon They really are!",FALSE,0,"MrDaedricDragon",2015-02-18 19:46:13,FALSE,"568120552944046083","568134411843010560","602244965","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"10","@rebeccafowler37 Exactly! Animal tests continue, not because it's effective, but due to vested financial interests &amp; outdated traditions.",FALSE,0,"rebeccafowler37",2015-02-18 19:45:07,FALSE,"568108977491296256","568134131873230848","2598623851","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"11","@KarvonenOnni AW, he knows he is safe now! &lt;3",FALSE,0,"KarvonenOnni",2015-02-18 19:43:37,FALSE,"568112863539281920","568133754910167040","2631619473","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
"12","@bsbfankaren No clue as to what you are even talking about.",FALSE,0,"bsbfankaren",2015-02-18 19:43:04,FALSE,"568115193428865024","568133619476082688","25335524","<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","peta",0,FALSE,FALSE,NA,NA
