"","x"
"1","A big shout out to @thedoctors for a fantastic blood drive! Thx for highlighting the need for eligible blood donors! http://t.co/PSux3Gz2mi"
"2","In a home fire, no item is worth your life. http://t.co/JfexwsI11b #FireSafetyFriday http://t.co/cNjnnuCwNy"
"3","#TBT to 1949. There's a new way to roll up your sleeves w/ our #SleevesUp virtual blood drive:http://t.co/75YtdBDxkM http://t.co/624gFV9Y8E"
"4","Thanks @WalmartGiving for helping us fund training for 2,500 students in our Nurse Assistant Training program: http://t.co/eGMYsHtGkN"
"5","A winter storm impact you may not have thought of: fewer blood donations. Learn more: http://t.co/9sogBkLP6i http://t.co/7uV3fJV3n3"
"6","Good advice RT @Readygov: Help spread the word - 3 important ways to stay safe during #blizzardof2015 http://t.co/YsX8jNCIFM"
"7","Stay safe w/these top 10 winter safety tips for #Snowmageddon2015: http://t.co/nBFyxPlfP7"
"8","Get ready for #Snowmageddon2015 with our winter weather safety tips: https://t.co/6ebqf5ZuUg"
"9","@MySavannahLynne happy birthday Savannah and thanks for giving the gift of life to others on your special day!"
"10","Do you really know how you would handle a home fire? Take this quiz to learn more about yourself. http://t.co/kRY4au9PgU #FireSafetyFriday"
"11","It's #FireSafetyFriday: Know the drill about handling a home fire? Take the quiz: http://t.co/kRY4au9PgU #firesafety http://t.co/lb5HfvZm08"
"12","Live in an apartment? Know what to do if a fire breaks out? See the #RedCross response in NJ: http://t.co/z2hNmQuR1z http://t.co/bRTQKI8foJ"
"13","Are your kids #RedCross ready? Take time during Youth Preparedness Wk  to make sure they're prepared for anything: http://t.co/DmeOk3Z7fn"
"14","#SleevesUp is a first-of-its-kind website where you help create virtual blood drives: http://t.co/AGjfaAHotA http://t.co/2P6kXB4lY9"
"15","Red Crossers around the country installed smoke alarms &amp; #firesafety info for #MLKDay wknd:http://t.co/HhnOtOmvEn http://t.co/t6CQhbnyDo"
"16","[VIDEO] This woman survived two apartment fires. Here's how the #RedCross was there to help: http://t.co/ulqDxGdPnE
https://t.co/ReIU1wWwNy"
"17","Find out how #RedCross gives help &amp; hope to those who have lost everything after a home fire: http://t.co/TFvlQTDeAj http://t.co/wcnDL2IYnD"
"18","Did you know @Intlfamilylinks reconnects families separated by migration?Join #MigrationMatters Hangout:http://t.co/hHm4GxHzKu"
"19","#RedCross flu tip: Soap it and stop it! Get other flu tips here: http://t.co/VM4h8k5FnF #abcDrBchat"
"20","Today at 1pm ET: Dr. Pellegrino (@jumpnjeffrey) joins @abcDrBchat to talk about the #flu. Use #abcDrBchat to ask Qs!"
"21","5 yrs ago today, an earthquake devastated #Haiti. Here is how we're helping rebuild/recover: http://t.co/3yG3WoYkmb http://t.co/EsuVpqDdv3"
"22","In the past 5 years, you have helped rebuild #Haiti’s medical capacity. Learn how: http://t.co/gY3Dxf17II http://t.co/YSjbRq9f0P"
"23","Find out how the #RedCross helped nearly 150 people in 21 shelters last night: http://t.co/sydRAuNnP7 http://t.co/HRXqaYIqFv"
"24","One woman's quest to ensure houses in #Haiti better withstand #earthquakes &amp; hurricanes.
https://t.co/JNPKKEVYqd"
"25","Top 10 cold weather safety tips from the #RedCross: http://t.co/sx8ofmboQZ"
"26","Dear Lady Edith. We have some #firesafety tips for you (and everyone else): http://t.co/vKJLJyutLu #DowntonAbbey http://t.co/YHc9b752Rv"
"27","New home = new hope. Read a story of recovery from the Haiti earthquake,5 yrs in the making: http://t.co/RHOT7TAIqE
https://t.co/uViJzd5Avc"
"28","Looking for #Resolutionsfor2015?  How about one (or all three) of these #RedCross suggestions: http://t.co/3uqlJTtcvo"
"29","With your support, families facing their darkest hour will not be left alone. http://t.co/eQbbZjkH06 http://t.co/MUn0NUOsQS"
"30","Ft. Bliss is one example of how #RedCross provides services to the military &amp; supports troops after returning home.
https://t.co/jBiGxSbY4s"
"31","Read how Red Cross Red Crescent responded to one of the largest disasters: http://t.co/gEr3YOoanG #Tsunami10years"
"32","Happy Holidays to you and yours! http://t.co/eYNOFZYHRF http://t.co/VBfo0h7QX2"
"33","Switch on the holiday cheer, but switch off the oven! #firesafety
https://t.co/PLvLmSUP4G"
"34","We've never had more fun getting ready for holiday travel: http://t.co/VpNelnS1x1 http://t.co/a0VCyOs5sm"
"35","Stay safe w/ our 12 days of holiday safety tips: http://t.co/I75uPIN0oV"
"36","Do you leave lit candles unattended? Hapless Hillary helps show what not to do this holiday season: http://t.co/lqtWuHt1xC #firesafety"
"37","Do YOU know how to protect yourself from the flu? http://t.co/WNXmc7IA4E http://t.co/tOMuTGmgQL"
"38","#Fires, #Storms, #Earthquakes, #Tornadoes, #Mudslides #2014in5words https://t.co/RNtw8uw9L3"
"39","The #RedCross helped more ppl affected by home fires than all other disasters combined in 2014 http://t.co/ukzUQxjffc http://t.co/wp3HxJi4VJ"
"40","Do you know how to keep your pets safe during the holiday season? http://t.co/3fIDd8iG6M http://t.co/aIXB3qRtGJ"
"41","Think you know how to stay safe in the kitchen &amp; around holiday decorations? Find out! http://t.co/kW8LnMQYxM http://t.co/rV5m3cOqu7"
"42","Make the holiday season safer w/#RedCross first aid/CPR online training. Save 20% thru 12/31: http://t.co/t0DkRsy6qq http://t.co/FVqVWD3G91"
"43","See how @RedCross is using @AmazonSmile donations to help people after disasters: http://t.co/TZDGMsMiVw"
"44","“We're snuggled up together like two birds of a feather would be.” http://t.co/eFKwp62FBa #TogetherSweater http://t.co/heYSRN9Gvw"
"45","Afraid of needles? Grab a friend for support &amp; give blood this season: http://t.co/LcckMoOcfI #TogetherSweater http://t.co/n8hxsxjVQf"
"46","[TIPS] Stay safe w/these tips while the power is out. #BayAreaStorm http://t.co/hqVI2spRub http://t.co/09CuovNTPK"
"47","But that could NEVER happen to me! Read about a Red Crosser's 1st fire alarm experience: http://t.co/Wj0NICZIMZ http://t.co/XcLsNDf9NN"
"48","@esq2000gmailcom Hi Laurie, thanks for reaching out, we sent a DM to connect so we can talk further!"
"49","If the weather outside is frightening, stay inside &amp; brush up on #RedCross fire safety tips! http://t.co/zl5KZf11gZ http://t.co/dGVZb9WeVt"
"50","@victoriavaneyk can you follow us so we can DM you with more details?"
"51","#RedCross-trained everyday heroes in Colombia rushed in after a mine collapse: http://t.co/oUVHhMmV68 http://t.co/ulTONCS2gZ"
"52","Make the holiday season safer w/#RedCross first aid/CPR online training. Save 20% thru 12/31: http://t.co/t0DkRsy6qq http://t.co/EcYgAeNBFt"
"53","""Fight fire w/ fire"" + other (un)helpful #firesafety tips, courtesy of #TheMindyProject: http://t.co/fDFopJaNYL cc @MindyProjectFOX"
"54","A hot meal provides comfort for those who have been through a disaster.  #GivingTuesday https://t.co/TC5wKDYZHm"
"55","@DreamUpJustice Wow! Thanks for donating blood today! http://t.co/lqPtmN716E"
"56","Meet the young philanthropist who had celebrities star struck on #GivingTuesday: http://t.co/3XI3EFxsuB https://t.co/zGUriwMNXG"
"57","@rustbeltrants thanks for donating blood today! http://t.co/a7OiBGcml8"
"58","@therealjpiff Thank you for donating! http://t.co/DzCeo0zHR0"
"59","Thank you @MazdaUSA  &amp; its dealers for the generous support of our mission this holiday season! http://t.co/G2fUtLHTAq"
"60","Help support our military by providing comfort kits on #GivingTuesday: http://t.co/jiML0d6us1 #givewithmeaning http://t.co/gq1QOKWoeT"
"61","Check this out: donate today using #visacheckout &amp; @visa will donate $15: http://t.co/qfE8wQh2LG #GivingTuesday http://t.co/L49HDyJCXl"
"62","We've teamed up w/@bitly to create http://t.co/ybQ1b5EK88, a new way to combine sharing &amp; caring!  #GivingTuesday
https://t.co/hd5p2vWt8M"
"63","@chugs54 Thank you so much for your donation! http://t.co/BsVpfACOP2"
"64","Thank you @Target for supporting us this holiday season &amp; our blanket needs for disasters! #GivingTuesday http://t.co/6yjBJt706K"
"65","@HoJo1983 Thank you for donating today! http://t.co/davgGofvTA"
"66","You can provide warm, cozy blankets to protect people from the cold this #GivingTuesday https://t.co/qRiLvzBiAl"
"67","@ImBrentJames Thanks for donating!! Every ""bit"" helps. :) http://t.co/Oo8U5KPLtt"
"68","Want to see what a hero looks like? Meet @SophiaGreenwalt http://t.co/HLfEQluBId #GivingTuesday #givewithmeaning http://t.co/INvNZSQjyg"
"69","@BrendanKPatrick thanks for your speedy blood donation on #GivingTuesday (cc: @BostonCollege)! http://t.co/ghyyyR2qDL"
"70","@PatrickNLeon Thank you for your donation! http://t.co/xwbsNfPEYf"
"71","Thank you @FedExOffice for your longtime support of Disaster Relief. #GivingTuesday http://t.co/Ui1L57EPwm"
"72","A full day in a shelter provides a place to sleep, hot food &amp; a ((hug)): http://t.co/gOTPlkREFe #GivingTuesday http://t.co/XJPIgKiQAT"
"73","Make your donation to @RedCross go further when you use @VisaCheckout! http://t.co/pNNsoYQZw6 #GivingTuesday http://t.co/VDhsmzSXcr"
"74","Happy #GivingTuesday! We’ll be sharing stories about the impact of your giving &amp; hope you’ll #GiveWithMeaning today! http://t.co/ggP1suOjmK"
"75","A look at #RedCross reproductive health &amp; HIV prevention programs in Tanzania: http://t.co/4RnIFM9Jyo #WorldAIDSDay http://t.co/tllwVO0LGJ"
"76","We're talking about #Socialmedia and #GivingTuesday and how tweets make a difference, join the conversation here: http://t.co/jKtnoYEd5h"
"77","Want to learn more about #GivingTuesday? Join our LIVE CHAT with @cmtiller of @UNFoundation now: http://t.co/jKtnoYEd5h"
"78","Read how the #OSUvMICH rivalry impacts lives off the field too: http://t.co/UZw9fEHRO7 http://t.co/SkyhdcwEl4"
"79","Check out our holiday catalog for a chance to #givewithmeaning to someone in need.  #BlackFriday https://t.co/2HNcq9caKm"
"80","Shopping list too long? Give something that means something from the #RedCross catalog: https://t.co/bmrNmibZ8a"
"81","Thanks to all of you for making it possible for us to serve others! #HappyThanksgiving!
https://t.co/1QkMgOZyJo"
"82","@blee thanks for pointing that out, we were working to correct that, please try again and let us know if you get the same message."
"83","#Thanksgiving Cooking &amp; #FireSafety tip: In the kitchen, keep an eye on the turkey &amp; the kids.
https://t.co/dgfB2iD8Yv"
"84","Hitting the road this week? Find tips for driving safely &amp; staying healthy this Thanksgiving: http://t.co/nWtdMIkNj1 http://t.co/Tx0PCaDdI2"
"85","Enter to win a signed cookbook from celebrity chef, @MarcusCooks! Visit for more details: http://t.co/9DAmdDqwDD http://t.co/8dueey9p1w"
"86",".@KatieLeeKitchen from @FoodNetwork invites you to try something new this #Thanksgiving
https://t.co/3BWhvbWHFi"
"87","REVIEW: See what one 8 year old thinks about the new #MonsterGuard app: http://t.co/lfbQ4I3WoF http://t.co/fuTsHMotOZ"
"88","What's your #1 winter weather safety tip? We've got you covered at home &amp; on the road:http://t.co/kOlh14vf0S http://t.co/RscMMDsFSF"
"89","Just released: New #RedCross survey results show how friends affect your holiday giving: http://t.co/E2lrma9DNL http://t.co/mWFoV9ojJa"
"90","@jane_s_caldwell Hi. Please DM us your phone number."
"91","Do you have special plans for pets when winter weather arrives?: http://t.co/kOlh14vf0S http://t.co/KNLOJPljnF"
"92","It. Is. Cold! Prepare yourself for cold weather w/these tips: http://t.co/OGNBujVXw1 #RedCross http://t.co/52EEsyVzxo"
"93","Headed to @target today?  Grab an item from the #TomsForTarget collection and support the #RedCross! http://t.co/JoaDu6mblu"
"94","@yasminob hi please DM us your email address and contact number so we can have your name removed from the call list. thx."
"95","We're mapping the most vulnerable places in the world w/@TheMissingMaps project. See how you can help: http://t.co/2QcYigcMzN"
"96","Help your kids prepare for emergencies with #MonsterGuard, our new app: http://t.co/BLLii8ECbG http://t.co/kvHyvhahkE"
"97","Test your knowledge &amp; see if you are #firesafety savvy: http://t.co/yglooyVEMq http://t.co/S6dE9PtheF"
"98","Could your family escape a home fire? http://t.co/u3ZNVOMMDG #firesafety http://t.co/Qu7tu4mola"
"99","Have you ever used space heaters, fireplaces, or coal/wood stoves to stay warm at home? Tips: http://t.co/fJkUUFxjsZ http://t.co/mGOSBpLnmv"
"100","RT if you turned back your clock and tested your smoke alarm batteries for #DaylightSaving time.  #TurnandTest #firesafety"
"101","Don't forget to turn back your clock+test your smoke alarm! http://t.co/PY6M4VgzX7 #TurnandTest http://t.co/2cixzKrwcC"
