"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes http://t.co/NQReUGkOWv",FALSE,60,NA,2015-02-18 01:48:26,FALSE,NA,"567863175321915393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",100,FALSE,FALSE,NA,NA
"2","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/NQReUGkOWv",FALSE,31,NA,2015-02-17 18:58:06,FALSE,NA,"567759911728480256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",54,FALSE,FALSE,NA,NA
"3","Here's three tips for dealing with extreme #winter weather http://t.co/qlgtCyA8pU",FALSE,118,NA,2015-02-16 14:15:05,FALSE,NA,"567326303737905152",NA,"<a href=""https://ritetag.com"" rel=""nofollow"">RiteTag</a>","RedCross",324,FALSE,FALSE,NA,NA
"4","Frozen pipes, dressing in layers, generators and more. Tips to stay safe and warm this wknd: http://t.co/UCUD3GRTEr http://t.co/7cAdURHB5Y",FALSE,84,NA,2015-02-15 00:00:19,FALSE,NA,"566748803168890880",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","RedCross",173,FALSE,FALSE,NA,NA
"5","Sending a special  #valentines shout out everyone in our #RedCross family! Have a great day! http://t.co/ohVjO7e3b9",FALSE,190,NA,2015-02-14 21:43:03,FALSE,NA,"566714260718641152",NA,"<a href=""https://ritetag.com"" rel=""nofollow"">RiteTag</a>","RedCross",143,FALSE,FALSE,NA,NA
"6","Clarence Barton has bad pick up lines, but good #firesafety tips! http://t.co/8ivVd7s4Aw https://t.co/KelHhwLjED #VDay",FALSE,26,NA,2015-02-14 16:00:29,FALSE,NA,"566628049387405312",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","RedCross",31,FALSE,FALSE,NA,NA
"7","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt #FireSafetyFriday",FALSE,34,NA,2015-02-13 21:49:52,FALSE,NA,"566353589128675328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",54,FALSE,FALSE,NA,NA
"8","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt http://t.co/W3Axev7TJX",FALSE,38,NA,2015-02-13 16:05:42,FALSE,NA,"566266976428101632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",73,FALSE,FALSE,NA,NA
"9","What's in your winter car kit? Hopefully more than a snow scraper. Here's 8 other things: http://t.co/DIHhz5xml5 https://t.co/qNmvBPBPPt",FALSE,50,NA,2015-02-12 20:02:52,FALSE,NA,"565964274477334528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",101,FALSE,FALSE,NA,NA
"10","Thank you @Warcraft community for raising $1.9 million for our Ebola relief work! http://t.co/v1GbWe2577",FALSE,75,NA,2015-02-11 18:13:50,FALSE,NA,"565574444215980032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",80,FALSE,FALSE,NA,NA
"11","This Valentine's Day, give a gift that helps save lives. Make an appointment today: http://t.co/HUbKP8JS0S http://t.co/L7hyMrVJj1",FALSE,66,NA,2015-02-11 16:12:30,FALSE,NA,"565543912849567744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",156,FALSE,FALSE,NA,NA
"12","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt",FALSE,46,NA,2015-02-10 20:51:40,FALSE,NA,"565251777571082241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",93,FALSE,FALSE,NA,NA
"13","When a fire takes a home, it's a disaster. Help the Red Cross: http://t.co/64nXJLnszt #GiveWhatFireTakes",FALSE,50,NA,2015-02-06 21:12:44,FALSE,NA,"563807527251746816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",77,FALSE,FALSE,NA,NA
"14","When a fire takes a home, it's a disaster. Help the Red Cross: http://t.co/64nXJLnszt #GiveWhatFireTakes http://t.co/UputawZjBa",FALSE,73,NA,2015-02-06 16:52:54,FALSE,NA,"563742138085957632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",112,FALSE,FALSE,NA,NA
"15","Every 8 minutes fire takes security. Will you help us #GiveWhatFireTakes? Donate today: http://t.co/64nXJLnszt",FALSE,210,NA,2015-02-04 21:15:28,FALSE,NA,"563083440481132546",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",193,FALSE,FALSE,NA,NA
"16","When are shoes suddenly extraordinary? After a home fire. Help us #GiveWhatFireTakes: http://t.co/M46XmgdwwP http://t.co/wVnNKwp9sV",FALSE,109,NA,2015-02-04 16:23:13,FALSE,NA,"563009894425845765",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",234,FALSE,FALSE,NA,NA
"17","Find out more about the #Measles &amp; Rubella Initiative and our work to help stop these diseases from spreading: http://t.co/uy9qulce75",FALSE,38,NA,2015-02-03 21:04:47,FALSE,NA,"562718363496235010",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",79,FALSE,FALSE,NA,NA
"18","As temps in Syria plummet, see how the Syrian Arab Red Crescent provides support: http://t.co/KqobvEAe3p http://t.co/G55S1kr1m1",FALSE,59,NA,2015-02-02 21:04:08,FALSE,NA,"562355811545251842",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",83,FALSE,FALSE,NA,NA
"19","Before the pups take the field, here's our advice to the #PuppyBowl refs #PetFirstAid #PetSafety
https://t.co/mEM2LM6Plq",FALSE,31,NA,2015-02-01 19:40:15,FALSE,NA,"561972313160052736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",58,FALSE,FALSE,NA,NA
"20","Prepping for your Super Bowl party? Make sure kitchen safety is part  of  the game plan: http://t.co/svzqZWKq8d http://t.co/NtUKHzvj5b",FALSE,66,NA,2015-02-01 17:23:48,FALSE,NA,"561937977853890561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",100,FALSE,FALSE,NA,NA
"21","@embosi @UNlFORM download our #firstaid app here: http://t.co/wdxdBDzHlt for steps to take to help your friend.  if it gets worse call 911.",FALSE,4,"embosi",2015-01-31 22:52:27,FALSE,"561655124549189633","561658296172826624","2951075881","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",2,FALSE,FALSE,NA,NA
"22","A big shout out to @thedoctors for a fantastic blood drive! Thx for highlighting the need for eligible blood donors! http://t.co/PSux3Gz2mi",FALSE,72,NA,2015-01-31 15:30:14,FALSE,NA,"561547008616300545",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","RedCross",43,FALSE,FALSE,NA,NA
"23","In a home fire, no item is worth your life. http://t.co/JfexwsI11b #FireSafetyFriday http://t.co/cNjnnuCwNy",FALSE,61,NA,2015-01-30 16:15:32,FALSE,NA,"561196021427228672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",151,FALSE,FALSE,NA,NA
"24","#TBT to 1949. There's a new way to roll up your sleeves w/ our #SleevesUp virtual blood drive:http://t.co/75YtdBDxkM http://t.co/624gFV9Y8E",FALSE,28,NA,2015-01-29 20:39:07,FALSE,NA,"560899966387105792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",35,FALSE,FALSE,NA,NA
"25","Thanks @WalmartGiving for helping us fund training for 2,500 students in our Nurse Assistant Training program: http://t.co/eGMYsHtGkN",FALSE,43,NA,2015-01-28 19:45:43,FALSE,NA,"560524137958211585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",45,FALSE,FALSE,NA,NA
"26","A winter storm impact you may not have thought of: fewer blood donations. Learn more: http://t.co/9sogBkLP6i http://t.co/7uV3fJV3n3",FALSE,62,NA,2015-01-27 21:49:34,FALSE,NA,"560192917869187073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RedCross",152,FALSE,FALSE,NA,NA
"27","Good advice RT @Readygov: Help spread the word - 3 important ways to stay safe during #blizzardof2015 http://t.co/YsX8jNCIFM",FALSE,91,NA,2015-01-27 01:15:09,FALSE,NA,"559882267888480257",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RedCross",181,FALSE,FALSE,NA,NA
"28","Stay safe w/these top 10 winter safety tips for #Snowmageddon2015: http://t.co/nBFyxPlfP7",FALSE,40,NA,2015-01-26 21:30:12,FALSE,NA,"559825657417318404",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","RedCross",114,FALSE,FALSE,NA,NA
"29","Get ready for #Snowmageddon2015 with our winter weather safety tips: https://t.co/6ebqf5ZuUg",FALSE,38,NA,2015-01-26 18:30:20,FALSE,NA,"559780394447273984",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","RedCross",87,FALSE,FALSE,NA,NA
"30","@MySavannahLynne happy birthday Savannah and thanks for giving the gift of life to others on your special day!",FALSE,7,"MySavannahLynne",2015-01-25 23:36:06,FALSE,"559491684786925568","559494952951218176","195113538","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",3,FALSE,FALSE,NA,NA
"31","Do you really know how you would handle a home fire? Take this quiz to learn more about yourself. http://t.co/kRY4au9PgU #FireSafetyFriday",FALSE,35,NA,2015-01-23 21:27:30,FALSE,NA,"558737816029765632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",92,FALSE,FALSE,NA,NA
"32","It's #FireSafetyFriday: Know the drill about handling a home fire? Take the quiz: http://t.co/kRY4au9PgU #firesafety http://t.co/lb5HfvZm08",FALSE,37,NA,2015-01-23 16:20:20,FALSE,NA,"558660512595324928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",141,FALSE,FALSE,NA,NA
"33","Live in an apartment? Know what to do if a fire breaks out? See the #RedCross response in NJ: http://t.co/z2hNmQuR1z http://t.co/bRTQKI8foJ",FALSE,63,NA,2015-01-22 20:38:26,FALSE,NA,"558363077692129280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",116,FALSE,FALSE,NA,NA
"34","Are your kids #RedCross ready? Take time during Youth Preparedness Wk  to make sure they're prepared for anything: http://t.co/DmeOk3Z7fn",FALSE,38,NA,2015-01-21 19:50:23,FALSE,NA,"557988597077639169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",89,FALSE,FALSE,NA,NA
"35","#SleevesUp is a first-of-its-kind website where you help create virtual blood drives: http://t.co/AGjfaAHotA http://t.co/2P6kXB4lY9",FALSE,51,NA,2015-01-20 17:59:30,FALSE,NA,"557598307904929794",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",55,FALSE,FALSE,NA,NA
"36","Red Crossers around the country installed smoke alarms &amp; #firesafety info for #MLKDay wknd:http://t.co/HhnOtOmvEn http://t.co/t6CQhbnyDo",FALSE,115,NA,2015-01-19 20:45:32,FALSE,NA,"557277700726210560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",106,FALSE,FALSE,NA,NA
"37","[VIDEO] This woman survived two apartment fires. Here's how the #RedCross was there to help: http://t.co/ulqDxGdPnE
https://t.co/ReIU1wWwNy",FALSE,31,NA,2015-01-16 18:20:13,FALSE,NA,"556153967881625600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",54,FALSE,FALSE,NA,NA
"38","Find out how #RedCross gives help &amp; hope to those who have lost everything after a home fire: http://t.co/TFvlQTDeAj http://t.co/wcnDL2IYnD",FALSE,46,NA,2015-01-15 21:30:32,FALSE,NA,"555839474165624832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",77,FALSE,FALSE,NA,NA
"39","Did you know @Intlfamilylinks reconnects families separated by migration?Join #MigrationMatters Hangout:http://t.co/hHm4GxHzKu",FALSE,25,NA,2015-01-14 14:00:45,FALSE,NA,"555363896253755392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RedCross",49,FALSE,FALSE,NA,NA
